ID_Producto,NombreProducto,Categoria,PrecioUnitario,EstadoDeRotacion
1,Protector Solar SPF 50,Cuidado Personal,13.59,Media
2,Mascarillas KN95,Higiene,7.49,Baja
3,Pasta Dental Fluorada,Higiene,3.10,Baja
4,Mascarillas KN95,Higiene,3.62,Baja
5,Pastillas para la garganta,Medicamento,12.53,Media
6,Omeprazol 20mg,Medicamento,10.93,Media
7,Inhalador Salbutamol,Medicamento,12.33,Media
8,Ibuprofeno 400mg,Medicamento,23.54,Alta
9,Omeprazol 20mg,Medicamento,10.98,Media
10,Vitamina C 1000mg,Suplemento,16.16,Media
11,Crema Antifúngica,Medicamento,22.55,Alta
12,Antigripal Forte,Medicamento,9.45,Baja
13,Hierro Ferroso,Suplemento,20.27,Alta
14,Protector Solar SPF 50,Cuidado Personal,11.94,Media
15,Repelente de Insectos,Cuidado Personal,5.89,Baja
16,Crema Antifúngica,Medicamento,11.75,Media
17,Colirio,Medicamento,9.39,Baja
18,Antigripal Forte,Medicamento,7.38,Baja
19,Suero Oral,Medicamento,15.96,Media
20,Test de Embarazo,Cuidado Personal,6.39,Baja
21,Acetaminofén Gotas,Medicamento,19.19,Media
22,Alcohol Etílico 70%,Higiene,6.91,Baja
23,Enjuague Bucal,Higiene,3.86,Baja
24,Vendas Elásticas,Higiene,2.96,Baja
25,Repelente de Insectos,Cuidado Personal,10.67,Media
26,Test de Embarazo,Cuidado Personal,7.72,Baja
27,Vitamina C 1000mg,Suplemento,22.91,Alta
28,Inhalador Salbutamol,Medicamento,21.63,Alta
29,Guantes de Látex,Higiene,3.19,Baja
30,Multivitamínico Infantil,Suplemento,12.80,Media
31,Guantes de Látex,Higiene,3.42,Baja
32,Antigripal Forte,Medicamento,18.72,Media
33,Paracetamol 500mg,Medicamento,10.91,Media
34,Acetaminofén Gotas,Medicamento,21.82,Alta
35,Vitamina C 1000mg,Suplemento,16.91,Media
36,Guantes de Látex,Higiene,3.71,Baja
37,Algodón Hidrofílico,Higiene,6.61,Baja
38,Omeprazol 20mg,Medicamento,16.96,Media
39,Pastillas para la garganta,Medicamento,10.04,Media
40,Termómetro Digital,Cuidado Personal,14.68,Media
41,Alcohol Etílico 70%,Higiene,3.80,Baja
42,Colirio,Medicamento,17.48,Media
43,Hierro Ferroso,Suplemento,13.16,Media
44,Crema Antifúngica,Medicamento,15.66,Media
45,Mascarillas KN95,Higiene,7.22,Baja
46,Tiras Reactivas Glucosa,Cuidado Personal,6.33,Baja
47,Guantes de Látex,Higiene,4.17,Baja
48,Alcohol Etílico 70%,Higiene,9.64,Baja
49,Test de Embarazo,Cuidado Personal,3.68,Baja
50,Gel Antibacterial,Higiene,6.11,Baja
51,Termómetro Digital,Cuidado Personal,13.96,Media
52,Pastillas para la garganta,Medicamento,18.85,Media
53,Jarabe para la tos,Medicamento,12.62,Media
54,Termómetro Digital,Cuidado Personal,5.89,Baja
55,Antigripal Forte,Medicamento,16.15,Media
56,Mascarillas KN95,Higiene,6.42,Baja
57,Ibuprofeno 400mg,Medicamento,21.44,Alta
58,Multivitamínico Infantil,Suplemento,24.31,Alta
59,Suero Oral,Medicamento,12.43,Media
60,Antigripal Forte,Medicamento,19.30,Media
61,Loratadina 10mg,Medicamento,13.71,Media
