Semana,Ventas_Semanales
1,5127.899999999999
2,4737.740000000002
3,5040.62
4,4923.450000000002
5,4923.809999999999
6,4507.900000000002
7,5996.550000000001
8,4223.960000000001
9,4026.9
10,4006.059999999999
11,4494.5599999999995
12,3838.5999999999995
13,5379.679999999999
14,3580.4199999999996
15,4025.2999999999997
16,2735.9799999999996
17,4406.93
18,4720.999999999999
19,4603.749999999998
20,1811.14
21,1425.3800000000003
22,812.99
23,1740.4099999999999
24,1197.16
25,819.1600000000001
26,1414.53
27,1616.3
28,1849.7300000000002
29,934.6399999999999
30,889.7500000000001
31,833.0799999999999
32,1338.6599999999999
33,756.72
34,1508.1900000000003
35,733.7
36,1719.6399999999999
37,1473.3999999999999
38,908.3899999999999
39,1059.1799999999998
40,889.47
41,850.59
42,633.3400000000001
43,937.2499999999999
44,1385.75
45,714.5299999999999
46,1088.5
47,1399.1100000000001
48,1114.6200000000001
49,1160.24
50,1769.0000000000005
51,1035.0800000000002
52,1146.9100000000003
